"Project Type: STS 05/07/2018 Buyer: Denise Brooks x663 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,,"10/17/2018
Vitamin Department 28323 Vitamin B-04' H-Released
",,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 8",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 10:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 3.00",,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 9:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 4.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 4.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,,
Positio,,,UPC,,,,Facings,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 6.00"",   Product: 3' 11.82""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0003367440411,,,,1,,,NATURE'S WAY,,,,,B1 100 MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,
2,,0007628004325,,,,1,,,SOLARAY,,,,,VITAMIN B1 100 MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.00,,,,,
3,,0001579406001,,,,1,,,COUNTRY LIFE,,,,,VITAMIN B1 100 MG,,,,100.00,,,TAB,,,,Feb 21 2016 1,,,,,1.80,,,,,
4,,0001579406003,,,,1,,,COUNTRY LIFE,,,,,BENFOTIAMINE WITH COENZYME B1,,,,60.00,,,VCP,,,,Feb 21 2016 1,,,,,2.00,,,,,
5,,0003367440421,,,,2,,,NATURE'S WAY,,,,,VIT B-2 100 MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,
6,,0007628004327,,,,1,,,SOLARAY,,,,,VITAMIN B-2 100MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.00,,,,,
7,,0001579406031,,,,1,,,COUNTRY LIFE,,,,,VITAMIN B-2 100 MG,,,,100.00,,,TAB,,,,Feb 21 2016 1,,,,,1.80,,,,,
8,,0004064700121,,,,1,,,NATURE'S LIFE,,,,,VITAMIN B2 250 MG RAPID RELEASE,,,,50.00,,,TAB,,,,Feb 21 2016 1,,,,,1.93,,,,,
9,,0002124582435,,,,1,,,KAL,,,,,NIACIN 50,,,,200.00,,,TAB,,,,Feb 21 2016 1,,,,,2.00,,,,,
10,,0003367440470,,,,1,,,NATURE'S WAY,,,,,NIACIN 100MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,
11,,0064667067165,,,,1,,,SPROUTS,,,,,NIACIN 100 MG,,,,100.00,,,VTB,,,,Feb 21 2016 1,,,,,1.81,,,,,
12,,0064667067166,,,,1,,,SPROUTS,,,,,NIACIN 500 MG PROLONGED RELEASE,,,,100.00,,,VTB,,,,Feb 21 2016 1,,,,,2.10,,,,,
13,,0064667067167,,,,1,,,SPROUTS,,,,,NIACIN 500 MG PROLONGED RELEASE,,,,250.00,,,VTB,,,,Feb 21 2016 1,,,,,2.73,,,,,
14,,0064667067168,,,,1,,,SPROUTS,,,,,NO FLUSH NIACIN 525 MG,,,,100.00,,,VCP,,,,Feb 21 2016 1,,,,,2.61,,,,,
15,,0007628004363,,,,1,,,SOLARAY,,,,,NIACIN-500 MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.00,,,,,
16,,0007628004364,,,,1,,,SOLARAY,,,,,NIACIN-NO FLUSH-500 MG,,,,100.00,,,VCP,,,,Feb 21 2016 1,,,,,2.50,,,,,
17,,0004746904835,,,,1,,,NATROL,,,,,NIACIN-TR-500 MG,,,,100.00,,,TAB,,,,Feb 21 2016 1,,,,,2.00,,,,,
18,,0007628004365,,,,1,,,SOLARAY,,,,,NIACINAMIDE 500 MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.00,,,,,
19,,0003367440480,,,,1,,,NATURE'S WAY,,,,,NIACINAMIDE 500MG,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,
20,,0004064700265,,,,1,,,NATURE'S LIFE,,,,,NIACINAMIDE 1000 MG,,,,100.00,,,TAB,,,,Feb 21 2016 1,,,,,2.52,,,,,
21,,0006895801254,,,,1,,,NATURAL FACTORS,,,,,BIOCOENZYMATED NICOTINAMIDE RIBOSIDE,,,,30.00,,,VCP,,,,,,,,,2.33,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 3.00"",   Product: 3' 11.86""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0003367440491,,,,1,,,NATURE'S WAY,,,,,PANTOTHENIC ACID,,,,100.00,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,
2,,0064667067175,,,,1,,,SPROUTS,,,,,PANTOTHENIC ACID 500 MG PR,,,,60.00,,,VTB,,,,Feb 21 2016 1,,,,,2.25,,,,,
