"Project Type: STS 11/05/2018 Buyer: Abby Mullen x2324 Analyst: Tim Esch x1596
Location(s):
Notes:",,,,,,,,,,,"11/17/2018
Vitamin Department 34276 Joint Health 04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 11.77""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0075395000146,,,,2,,DOCTORS BEST,,,,,BEST HYALURONIC ACID W CHOND SULFATE,,,,60.00,,,CAP,,,,Feb 21 2016 1,,,2.37,,,,
2,0064667067334,,,,2,,SPROUTS,,,,,HYALURONIC ACID 100MG,,,,50.00,,,VCP,,,,Jul 31 2016 1,,,1.75,,,,
3,0079001129018,,,,2,,JARROW FORMULAS,,,,,HYALURONIC ACID,,,,60.00,,,CAP,,,,Feb 21 2016 1,,,2.00,,,,
4,0006895802680,,,,1,,NATURAL FACTORS,,,,,HYABEST HYALURONIC ACID 100 MG,,,,60.00,,,VCP,,,,,,,2.22,,,,
5,0073373903157,,,,1,,NOW,,,,,HYALURONIC ACID W/ MSM,,,,120.00,,,VCP,,,,Feb 21 2016 1,,,2.25,,,,
6,0003367415601,,,,1,,NATURE'S WAY,,,,,HYDRAPLENISH,,,,60.00,,,VCP,,,,Feb 21 2016 1,,,2.02,,,,
7,0003367415603,,,,1,,NATURE'S WAY,,,,,HYDRAPLENISH WITH MSM,,,,60.00,,,VCP,,,,Feb 21 2016 1,,,2.02,,,,
8,0085324400323,,,,2,,YOUTHEORY,,,,,HYALURONIC ACID,,,,120.00,,,TAB,,,,Jul  3 2016 1,,,3.00,,,,
9,0085825900051,,,,1,,HYALOGIC,,,,,OPTIMIZE HA,,,,30.00,,,CAP,,,,,,,2.16,,,,
10,0085825900012,,,,1,,HYALOGIC,,,,,SYNTHOVIAL SEVEN,,,,1.00,,,OZ,,,,Feb 21 2016 1,,,2.50,,,,
11,0085825900072,,,,1,,HYALOGIC,,,,,HA GUMMY-BERRY FLAVOR,,,,60.00,,,CNT,,,,Feb 21 2016 1,,,3.02,,,,
12,0001618512965,,,,1,,NEOCELL,,,,,HYALURONIC ACID DOUBLE STRENGTH,,,,60.00,,,CAP,,,,,,,2.59,,,,
13,0001618509665,,,,2,,NEOCELL,,,,,HYALURONIC ACID-BLUEBERRY,,,,16.00,,,FOZ,,,,Jul 10 2016 1,,,2.94,,,,
14,0001618512966,,,,1,,NEOCELL,,,,,JOINT BURSTS-TROPICAL TANG,,,,30.00,,,CNT,,,,Jul 10 2016 1,,,4.15,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0074788901180,,,,1,,CRYSTAL STAR,,,,,INFLAMA RELIEF,,,,60.00,,,VCP,,,,Feb 21 2016 1,,,2.32,,,,
2,0074788901250,,,,1,,CRYSTAL STAR,,,,,MUSCLE RELAXER,,,,60.00,,,VCP,,,,Feb 21 2016 1,,,2.32,,,,
3,0031053902930,,,,1,,GARDEN OF LIFE,,,,,WOBENZYM N,,,,100.00,,,TAB,,,,Feb 21 2016 1,,,2.15,,,,
4,0031053902929,,,,1,,GARDEN OF LIFE,,,,,WOBENZYM N,,,,200.00,,,TAB,,,,Feb 21 2016 1,,,2.50,,,,
5,0030696904404,,,,1,,BOIRON,,,,,ARNICARE ARTHRITIS,,,,60.00,,,TAB,,,,Feb 21 2016 1,,,3.05,,,,
6,0001618512953,,,,1,,NEOCELL,,,,,MOVE MATRIX,,,,150.00,,,CAP,,,,,,,2.70,,,,
7,0001618509657,,,,2,,NEOCELL,,,,,IMMUCELL COLLAGEN TYPE 2,,,,120.00,,,CAP,,,,Feb 21 2016 1,,,2.30,,,,
8,0065752009003,,,,1,,HEALTH LOGICS,,,,,BIOCELL COLLAGEN,,,,120.00,,,CAP,,,,Feb 21 2016 1,,,2.30,,,,
9,0074365000215,,,,1,,EMERALD LABORATORIES,,,,,UC-II JOINT FORMULA,,,,60.00,,,CAP,,,,Feb 21 2016 1,,,2.25,,,,
10,0074365000227,,,,1,,EMERALD LABORATORIES,,,,,JOINT HEALTH,,,,90.00,,,VCP,,,,Feb 21 2016 1,,,2.45,,,,
11,0085324400333,,,,1,,YOUTHEORY,,,,,JOINT COLLAGEN TYPE 2,,,,120.00,,,TAB,,,,Feb 21 2016 1,,,3.00,,,,
12,0071036359189,,,,1,,IRWIN NATURALS,,,,,COLLAGEN-STRONG UC-II JOINT BUILDER,,,,60.00,,,SG,,,,,,,2.50,,,,
13,0071036356819,,,,1,,IRWIN NATURALS,,,,,INFLLESS,,,,80.00,,,SG,,,,Feb 21 2016 1,,,2.50,,,,
