"Project Type: Reset 06/18/2018 Buyer: Denise Brooks x663 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,,"10/9/2018
Vitamin Department
28691 Electrolytes-Effervescent-03' L-Released
",,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 1.00"", Length 3' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 4.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 5.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 4.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 6.50"", Length 3' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 3' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 3' 0.00"",    Height: 0' 9.50"",   Depth: 1' 6.00"",   Product: 2' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0084728002068,,,2,,SPROUTS,,,,,,CLASSIC-FULL COLOR-20OZ-ASSTD COLORS,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
2,0084728001477,,,1,,SPROUTS,,,,,,CLASSIC-28OZ-ASSORTED COLORS,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
3,0084728001478,,,1,,SPROUTS,,,,,,CLASSIC-20OZ-ASSORTED COLORS,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
4,0084728001479,,,2,,SPROUTS,,,,,,CLASSIC-FULL COLOR-20OZ-ASSTD COLORS,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
5,0084728000925,,,1,,SPROUTS,,,,,,BLENDER BOTTLE-SPORT MIXER-20 OZ,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
6,0084728000924,,,2,,SPROUTS,,,,,,BLENDER BOTTLE-SPORT MIXER-28 OZ,,,,1.00,,,,EA,,,Jul  3 2016 1,,,,3.25,,,,
