"Project Type: Cut-In 12/10/2018 Buyer: Abby Mullen x2324 Analyst: Tim Esch x1596
Location(s): CA Notes:",,,,,,,,,,,,"12/7/2018
Vitamin Department
36188 Women's Health-08' L-Released
",,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,"Shelf 16:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Shelf 15:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,"Shelf 14:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,"Shelf 13:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Shelf 12:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Shelf 11:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,"Shelf 10:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,"Shelf 9:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.89""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0078212620015,,,,1,,,NATRACARE,,,,,,WIPES-INTIMATE-ORGANIC-COTTON,,,,12.00,,,,CNT,,,,Jun 12 2016 1,,,,5.00,,,,,
2,0073291345103,,,,1,,,SEVENTH GENERATION,,,,,,ORGANIC TAMPONS REGULAR APPLICATOR,,,,16.00,,,,CNT,,,,Jun 12 2016 1,,,,5.70,,,,,
3,0073291345104,,,,1,,,SEVENTH GENERATION,,,,,,ORGANIC TAMPONS SUPER APPLICATOR,,,,16.00,,,,CNT,,,,Jun 12 2016 1,,,,5.69,,,,,
4,0073291345108,,,,1,,,SEVENTH GENERATION,,,,,,TAMPONS-REGULAR W/ APPLICATOR,,,,18.00,,,,CNT,,,,,,,,5.70,,,,,
5,0073291345109,,,,1,,,SEVENTH GENERATION,,,,,,TAMPONS-SUPER COMFORT APPLICATOR,,,,18.00,,,,CNT,,,,,,,,5.70,,,,,
6,0078212600100,,,,1,,,NATRACARE,,,,,,TAMPONS-NON APPLICATOR-REGULAR,,,,20.00,,,,CNT,,,,Jun 12 2016 1,,,,4.75,,,,,
7,0078212600200,,,,1,,,NATRACARE,,,,,,TAMPONS-NON APPLICATOR-SUPER,,,,20.00,,,,CNT,,,,Jun 12 2016 1,,,,5.29,,,,,
8,0078212600202,,,,1,,,NATRACARE,,,,,,TAMPONS-SUPER PLUS,,,,20.00,,,,CNT,,,,Jun 12 2016 1,,,,6.08,,,,,
9,0078212600800,,,,2,,,NATRACARE,,,,,,TAMPONS-APPLICATOR-REGULAR,,,,16.00,,,,CNT,,,,Jun 12 2016 1,,,,2.50,,,,,
10,0078212600900,,,,1,,,NATRACARE,,,,,,TAMPONS-APPLICATOR-SUPER,,,,16.00,,,,CNT,,,,Jun 12 2016 1,,,,2.71,,,,,
11,0078212600305,,,,1,,,NATRACARE,,,,,,PADS-WINGS-ULTRA,,,,14.00,,,,CNT,,,,Jun 12 2016 1,,,,4.12,,,,,
12,0078212600308,,,,1,,,NATRACARE,,,,,,PADS-WINGS-ULTRA-SUPER,,,,12.00,,,,CNT,,,,Jun 12 2016 1,,,,4.12,,,,,
13,0078212600311,,,,1,,,NATRACARE,,,,,,PADS-ULTRA-SUPER PLUS,,,,12.00,,,,CNT,,,,Jun 12 2016 1,,,,3.72,,,,,
14,0078212600310,,,,1,,,NATRACARE,,,,,,PADS-WINGS-ULTRA-LONG,,,,10.00,,,,CNT,,,,Jun 12 2016 1,,,,4.12,,,,,
15,0078212600325,,,,1,,,NATRACARE,,,,,,PADS-ULTRA-EXTRA-WINGS-NORMAL,,,,12.00,,,,CNT,,,,Jun 12 2016 1,,,,3.74,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0076394807500,,,,1,,,ENZYMATIC THERAPY,,,,,,REMIFEMIN,,,,60.00,,,,TAB,,,,Jun 12 2016 1,,,,2.98,,,,,
