"Project Type: STS 05/07/2018 Buyer: Denise Brooks x663 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,"10/17/2018
Vitamin Department
28289 Vitamin ADEK-04' H-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 7",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 9:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 3.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,Date,,,,Width,,,,
