"Project Type: Reset 11/12/2018 Buyer: Denise Brooks x1663 Analyst: Megan McDermott x2322
Location(s):
Notes:",,,,,,,,,,"11/2/2018
Vitamin Department 32125 Liver-Detox- 04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00",,,,,,,,"""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667003791,,,1,,,SPROUTS,,,,BLACK WALNUT,,,,1.00,,,FOZ,,,,,,1.35,,,,
2,0064667063140,,,1,,,SPROUTS,,,,PARASITE CLEANSE,,,,1.00,,,FOZ,,,,,,1.35,,,,
3,0064667062108,,,1,,,SPROUTS,,,,WORMWOOD,,,,1.00,,,FOZ,,,,,,1.35,,,,
4,0009080000048,,,1,,,HERB PHARM,,,,WORMWOOD EXTRACT,,,,1.00,,,FOZ,,,,,,1.35,,,,
5,0076493452700,,,1,,,PURE PLANET,,,,ORGANIC PARASITE CLEANSE,,,,174.00,,,GM,,,,,,3.00,,,,
