"Project Type: Reset 11/06/2017 Buyer: Denise Brooks x1663 Analyst: Tim Esch x1596
Location(s): CA Notes:",,,,,,,,,,,,"11/17/2018
Vitamin Department
23086 Heart-Garlic-Cholesterol 04'L-Released
",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002107802164,,,,1,,,SOURCE NATURALS,,,,,ARTIC PURE KRILL OIL 500 MG,,,,,30.00,,,SG,,,,,Feb 21 2016 1,,,,2.00,,,,,
2,0075395000224,,,,2,,,DOCTORS BEST,,,,,REAL KRILL-350 MG,,,,,60.00,,,SG,,,,,Feb 21 2016 1,,,,2.10,,,,,
3,0076899001790,,,,1,,,NORDIC NATURALS,,,,,ULTIMATE OMEGA-1000 MG-LEMON,,,,,60.00,,,SG,,,,,Apr 17 2016 1,,,,2.50,,,,,
4,0076899003790,,,,2,,,NORDIC NATURALS,,,,,ULTIMATE OMEGA,,,,,180.00,,,SG,,,,,Apr 17 2016 1,,,,3.15,,,,,
5,0006895803549,,,,1,,,NATURAL FACTORS,,,,,RX OMEGA 3 FACTORS,,,,,120.00,,,SG,,,,,Apr 17 2016 1,,,,3.10,,,,,
6,0006895802257,,,,2,,,NATURAL FACTORS,,,,,WILD ALASKA SALMON OIL 1000 MG,,,,,180.00,,,SG,,,,,Apr 17 2016 1,,,,3.40,,,,,
7,0002124581109,,,,2,,,KAL,,,,,MAGNESIUM GLYCINATE 400 MG,,,,,90.00,,,TAB,,,,,Feb 21 2016 1,,,,2.50,,,,,
